@relation 'dataset_Monilla-weka.filters.unsupervised.attribute.Remove-R1-2,12-13,21-25,27-weka.filters.unsupervised.attribute.Remove-R7'

@attribute edad numeric
@attribute E1 numeric
@attribute E2 numeric
@attribute E3 numeric
@attribute E4 numeric
@attribute E5 numeric
@attribute grade_monilla numeric
@attribute qq numeric
@attribute Evapotranspiration_Crop numeric
@attribute Nvdi numeric
@attribute Relat_Hum_Max_Temp numeric
@attribute Temp_Air_Max numeric
@attribute Temp_Air_Min numeric
@attribute Dew_Temp_Max numeric
@attribute Precipitacion numeric
@attribute Sunshine_Duration numeric

@data
12,45,36,33,0,0,0,44.557,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
11,48,59,35,0,0,0,23.439,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
12,24,27,27,0,0,0,14.647,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
12,79,30,35,0,0,0,9.581,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
11,22,11,14,0,0,0,7.706,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
11,11,13,8,0,0,0,8.257,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
11,15,17,8,0,0,0,4.823,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
11,12,14,40,0,0,0,7.597,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
11,8,4,9,0,0,0,4.382,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
11,10,14,11,0,0,0,6.872,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
11,18,20,16,0,0,0,9.233,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
11,17,17,7,0,0,0,3.636,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
11,21,21,18,0,0,0,6.868,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
11,27,20,21,0,0,0,12.387,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
11,24,23,21,0,0,0,6.767,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
11,14,17,9,0,0,0,10.144,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
11,14,20,18,0,0,0,6.05,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
11,12,5,7,0,0,0,9.087,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
11,29,15,11,0,0,0,9.48,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
11,6,6,8,0,0,0,9.585,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
11,4,8,7,0,0,0,11.638,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
11,17,15,17,0,0,0,7.658,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
11,4,7,8,0,0,0,8.212,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
11,18,14,12,0,0,0,14.279,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
11,12,5,4,0,0,0,5.609,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
9,17,6,2,0,0,0,6.819,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
9,18,11,0,0,0,0,7.512,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
9,13,4,0,0,0,0,2.717,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
9,39,33,0,0,0,0,7.504,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
9,23,21,0,0,0,0,2.563,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
9,0,0,0,0,0,0,5.839,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
2,31,12,0,0,0,0,12.404,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
9,29,18,8,0,0,0,2.15,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
9,23,18,18,0,0,0,6.742,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
9,23,12,6,0,0,0,4.147,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
9,31,28,0,0,0,0,7.613,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
9,21,11,0,0,0,0,3.624,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
9,25,22,0,0,0,0,3.531,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
9,19,11,0,0,0,0,8.694,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
9,11,21,0,0,0,0,7.512,83.6,23.09,52,29.322581,18.516129,19.387097,0.2,290.1
13,37,27,0,0,0,0,10.909,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
12,57,28,0,0,0,0,28.585,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
13,71,40,0,0,0,0,13.402,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
12,61,20,0,0,0,0,31.071,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
12,54,50,0,0,0,0,6.639,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
12,73,42,0,0,0,0,10.893,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
12,50,39,0,0,0,0,9.241,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
12,76,17,0,0,0,0,17.191,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
2,10,5,0,0,0,0,5.972,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
13,56,48,0,0,0,0,12.759,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
13,31,22,0,0,0,0,19.84,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
13,32,21,0,0,0,0,19.235,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
13,44,29,0,0,0,0,18.804,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
13,21,33,0,0,0,0,13.189,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
13,46,48,0,0,0,0,19.859,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
12,68,46,0,0,0,0,6.775,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
13,58,54,0,0,0,0,11.452,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
12,28,9,0,0,0,0,16.843,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
11,30,23,0,0,0,0,24.403,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
12,37,20,0,0,0,0,44.484,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
12,34,28,0,0,0,0,39.376,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
11,23,14,0,0,0,0,16.334,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
11,19,21,0,0,0,0,32.459,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
12,38,45,0,0,0,0,42.785,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
12,14,20,0,0,0,0,15.729,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
12,15,14,0,0,0,0,9.988,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
2,58,11,0,0,0,0,3.351,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
11,17,12,0,0,0,0,19.205,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
12,44,42,0,0,0,0,16.722,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
11,33,31,0,0,0,0,27.65,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
11,11,10,0,0,0,0,11.715,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
12,25,31,0,0,0,0,44.554,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
11,18,22,0,0,0,0,18.111,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
12,15,9,0,0,0,0,25.629,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
12,26,19,0,0,0,0,28.615,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
11,18,18,0,0,0,0,10.078,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
11,9,17,0,0,0,0,10.892,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
11,9,15,0,0,0,0,7.882,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
11,16,12,0,0,0,0,8.879,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
11,6,5,0,0,0,0,7.754,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
11,17,14,0,0,0,0,11.237,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
11,9,16,0,0,0,0,16.346,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
11,18,8,0,0,0,0,8.902,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
11,11,12,0,0,0,0,16.61,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
11,34,36,0,0,0,0,20.427,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
11,26,28,0,0,0,0,11.668,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
11,9,3,0,0,0,0,11.695,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
11,27,30,0,0,0,0,11.268,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
11,9,8,0,0,0,0,15.147,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
11,9,15,0,0,0,0,9.67,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
11,6,5,0,0,0,0,12.521,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
11,16,23,0,0,0,0,30.373,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
11,30,23,0,0,0,0,16.858,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
11,23,19,0,0,0,0,10.365,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
11,14,10,0,0,0,0,6.718,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
11,11,2,0,0,0,0,5.923,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
9,13,14,0,0,0,0,13.857,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
9,11,0,0,0,0,0,4.489,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
9,17,0,0,0,0,0,0.998,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
9,38,0,0,0,0,0,9.278,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
9,37,0,0,0,0,0,2.473,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
9,0,0,0,0,0,0,6.946,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
2,29,0,0,0,0,0,14.746,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
9,18,14,0,0,0,0,7.519,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
9,30,43,0,0,0,0,12.492,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
9,12,16,0,0,0,0,2.426,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
9,35,0,0,0,0,0,5.448,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
9,10,0,0,0,0,0,12.999,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
9,29,0,0,0,0,0,4.442,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
9,12,0,0,0,0,0,9.871,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
9,17,0,0,0,0,0,6.848,77.4,22.97,55.833333,28.733333,18.6,19.7,0,276.7
13,47,0,0,0,0,0,5.144,82,23.54,51,30.645161,20.451613,20.806452,0,274.9
12,38,0,0,0,0,0,18.961,82,23.54,51,30.645161,20.451613,20.806452,0,274.9
13,39,0,0,0,0,0,10.199,82,23.54,51,30.645161,20.451613,20.806452,0,274.9
12,37,0,0,0,0,0,25.156,82,23.54,51,30.645161,20.451613,20.806452,0,274.9
12,63,0,0,0,0,0,6.961,82,23.54,51,30.645161,20.451613,20.806452,0,274.9
